timestamp,accountValue,pnl
1768425360021,0.0,0.0
1768428960021,32602.339996,1769.489996
1769037360053,36742.841824,-2955.648176
1769642160030,59707.468927,29.218927
1770245760041,43336.961334,-27766.818666
1770851760044,40189.835269,-36883.944731
1771455360023,43947.653301,-37116.126699
1771540560034,44443.807835,-36619.972165
1771629360072,46039.757571,-35024.022429
1771716960000,46485.720334,-34578.059666
1771803360026,45531.99041,-35531.78959
1771888560042,41086.789649,-39976.990351
1771971360034,40400.109685,-40663.670315
1772057760007,48617.451045,-32446.328955
1772144160036,46207.775346,-34856.004654
1772230560047,42806.557039,-38257.222961
1772322960073,45431.511773,-35632.268227
1772409360046,44873.05508,-36190.72492
1772488560075,49311.48181,-31752.29819
1772574960100,46731.787757,-34331.992243
1772667360105,52616.969157,-28446.810843
1772753760015,50807.689691,-30256.090309
1772838960079,47418.228943,-33645.551057
1772927760020,46300.107156,-34763.672844
1773008160022,44970.935243,-36092.844757
1773099360018,49242.959136,-31820.820864
1773184560003,50512.554995,-30551.225005
1773268560088,52294.750846,-28769.029154
1773356160061,52207.302576,-28856.477424
1773441360064,51851.253501,-29244.516499
1773503760009,51496.852271,-29598.917729
1773575760045,53087.513116,-27976.936884
1773638160093,57273.483594,-23804.406406
1773701760033,59972.562045,-21105.327955
1773764160136,58771.151868,-22306.738132
1773832560104,59171.689163,-21932.390837
1773894960048,54971.490735,-26132.589265
1773958560083,53663.497589,-27440.582411
1774020960047,53327.778896,-27776.301104
1774083360041,54030.333595,-27073.746405
1774145760017,51666.974985,-29437.105015
1774174509677,51303.999246,-29800.080754
