timestamp,accountValue,pnl
1755726720063,0.0,0.0
1755730320063,1052910.0600000001,0.0
1756330800069,3199092.6655930001,32860.725593
1756942800013,6619241.6956540002,62872.845654
1757544000032,6421662.2556189997,-135850.204381
1758146400039,6431838.3779750001,-120250.892025
1758752400040,10609489.0577540006,-141963.902246
1759354800067,10910759.1377639994,120490.487764
1759965788774,11408994.9122410007,424194.632241
1760567245148,13682904.9775469992,1091421.9575469999
1761176292933,14618122.6569149997,1439472.0969149999
1761781202039,18052372.9133910015,1843523.6433910001
1762386119439,17129183.2986019999,1324088.718602
1762986875525,14910473.1834919993,605565.833492
1763591196389,14189258.3371210005,243450.847121
1764200637372,13681982.0647630002,760065.954763
1764804000091,3636943.2819980001,773985.031998
1765407672933,3187387.053506,794878.103506
1766009427862,3125061.9666840001,777575.476684
1766619600051,3227035.8169740001,855734.976974
1767224188320,3354914.5123319998,893690.102332
1767828000097,3054949.0750509999,672670.375051
1768432800058,2992442.1040389999,730718.4240389999
1769038800033,2884629.707868,666373.207868
1769640000035,2982542.3085940001,953569.148594
1770248681769,550160.274068,913192.214068
1770850800087,494661.400132,898619.910132
1771366800063,470958.336617,878324.396617
1771630800093,450160.686581,882750.356581
1771888800066,412067.91003,875373.68003
1772144170650,419182.282977,887060.032977
1772401200028,416894.184804,899351.964804
1772661971556,410878.85423,913150.27423
1772925600000,342792.902863,907251.382863
1773182400040,323557.873892,916842.283892
1773438000040,325384.653374,918923.263374
1773625200050,325070.396822,920308.016822
1773810000001,328397.098292,932974.058292
1773999600079,346883.730241,928389.990241
1774174609909,337031.007786,926524.087786
