timestamp,accountValue,pnl
1744231320100,0.0,0.0
1744234920100,36836.962751,2573.802093
1744845720080,37318.518361,3055.357703
1745446920104,40953.648047,8631.330957
1746056520080,47757.932526,15105.978125
1746658920060,43271.599726,10740.031898
1747266240067,38095.650257,7521.611893
1747867440001,44218.727504,13832.024474
1748472720017,38781.164203,10331.990757
1749073920062,41287.29569,12838.122244
1749684120014,38114.144643,9664.971197
1750289160043,27991.893902,-457.279544
1750895160058,26122.55859,-2320.819706
1751500320060,26017.098504,-2426.279792
1752103920036,29488.219234,1044.849234
1752704040057,42131.091945,13687.721945
1753310040002,35888.129523,7444.759523
1753916520153,35425.517687,6982.147687
1754519040013,34613.858126,6153.488126
1755128640049,34529.221353,1432.801353
1755732240010,31930.610811,-1165.809189
1756338720123,27430.215682,-5666.204318
1756937520024,25751.944871,-7344.475129
1757545920030,24934.852907,-8161.567093
1758147120016,25267.91411,-7828.50589
1758753120068,22971.276463,-10125.143537
1759356720040,21537.249641,-11559.170359
1759960320048,23231.511593,-9864.908407
1760569920015,18975.07708,-14121.34292
1761169920015,17243.233586,-15853.186414
1761777120075,18156.244891,-14940.175109
1762383120052,23110.21159,-9986.20841
1762991520048,19983.226201,-13113.193799
1763592720050,17016.789436,-16079.630564
1764201120020,17487.698407,-15608.721593
1764804720090,16016.433828,-17079.986172
1765409520054,15606.919365,-17489.500635
1766011920070,13064.240818,-20032.179182
1766616720030,13064.240818,-20032.179182
1767219120041,12322.521117,-20773.898883
1767825120001,14214.074795,-18882.345205
1768427520061,18543.845962,-15552.574038
1769039520011,17408.581641,-16687.838359
1769640720037,17914.194093,-16182.225907
1770249120112,32369.951289,-12463.348711
1770849120061,11910.753694,-13292.236306
1771371120012,10344.987028,-13714.492972
1771715520056,10214.978507,-13844.501493
1772056320077,26840.051799,-14633.068201
1772403120023,23340.735939,-18132.384061
1772749920118,16031.030393,-24205.379607
1773097050649,24519.485515,-24757.084485
1773433920047,57295.374142,-28481.295858
1773735120038,60730.763183,-25045.906817
1774038720009,53293.083858,-32483.586142
1774174621594,55754.339406,-30022.330594
