timestamp,accountValue,pnl
1703112300026,0.0,0.0
1703115900026,571482.153901,70384.467498
1704325500064,589753.193689,56615.623926
1705535100051,455485.341787,39233.330994
1706139900027,176373.532608,-267669.960117
1707343879793,847335.1378950001,-95188.215543
1708553042443,991833.491913,68022.928566
1709760600357,869136.543103,-63089.963574
1710975600115,766790.211675,-287701.719103
1711578600324,243482.778781,-810565.501402
1712784600100,225461.806242,-828242.828889
1713396600238,0.0,-1053700.6609080001
1714607520011,0.0,-1053700.6609080001
1715811120024,987000.659726,-1067983.071402
1716419520020,120.115187,-1420601.725511
1717624320102,120.115187,-1420601.725511
1718840160097,120.115187,-1420601.725511
1720048560182,101.257588,-1420601.725511
1721259360131,100.000003,-1420601.725511
1722470160020,100.000003,-1420601.725511
1723067760080,436783.897735,-1484079.8277789999
1723677315067,886982.0173440001,-1537120.0652040001
1724888760173,2054587.3988590001,-1380875.0623989999
1726095960028,5936506.5122910002,-1506305.3707399999
1727301960111,8729801.2737770006,-2719716.3918110002
1727909160056,15253555.5260259993,-975046.8591079999
1729122360069,13553382.7352729999,-2476421.8484209999
1730327160121,14269257.8520299997,-2786096.8098909999
1731540360019,15288788.1046820004,-777548.246443
1732751160193,11578496.5800659992,-3991704.0293439999
1733955960120,12324929.1385559998,-3238834.8357150001
1735166760524,10799043.7233450003,-4771110.1590539999
1736380119674,9503768.8751570005,-4775883.8054459998
1737588816621,9018827.0764080007,-3547196.2473459998
1738795560065,7180436.3147430001,-5603835.2830159999
1740003423367,6432680.8040749999,-6205883.8276800001
1740607210910,9682018.0350599997,-6322174.0034140004
1741213560013,5100398.8564219996,-7624328.6913219998
1742426653614,5011725.2803880004,-6203305.7470180001
1743638130939,5537571.5696569998,-4783236.864573
1744239009377,8826927.2263309993,-7337011.2383939996
1745448360072,5020335.100323,-16284328.4550439995
1746656760075,4635607.0897359997,-16669381.5628670007
1747866480025,3985918.900074,-17316462.6552359983
1748474160051,2880448.5358699998,-18420100.3603539988
1749076560010,4562222.5203379998,-16736827.9971530009
1750290600033,4296771.0414939998,-17026970.0517840013
1750889400028,1751610.401509,-19570284.3027609996
1751500560001,3913372.73746,-19437364.9581050016
1752104980862,5168707.290422,-18181947.2395780012
1753310280046,4285784.1176079996,-19891700.0623920001
1753916760077,2897857.0651329998,-21279677.6848669983
1755128703193,3112391.311555,-21065049.7584449984
1756336560069,1485611.8792310001,-22691689.7907689996
1757547360056,1328454.007032,-22849614.9929680005
1758755760059,2961278.447195,-22796187.3728049994
1759965360073,2579023.8192619998,-23183595.7007380016
1761176160018,1948555.0954410001,-23810430.1845589988
1762382160004,1542987.7242020001,-24215523.1557979994
1762989360064,2731284.0526109999,-23030233.2473889999
1763590560106,2002900.1317139999,-23758347.3482859991
1764802954287,2289477.1517940001,-23471148.8782059997
1765408560061,1567728.212513,-24211009.6474869996
1766015328491,2419206.8776019998,-23360449.5323980004
1767218518699,3071030.3322100001,-22725843.2977899984
1768427760104,2269623.0723689999,-23553475.2376310006
1769037360053,2994375.9380800002,-22834456.6619199999
1770243897299,3167117.4586419999,-22631756.0813580006
1770850560071,2475930.1182579999,-22855637.491742
1771629360072,2087264.400715,-23241444.8392850012
1772057760007,1378325.8127649999,-23950495.0472350009
1772840160067,1420205.988417,-23906306.8515830003
1773359760034,909244.265371,-23906306.8746289983
1773438960048,12014.881791,-23906306.8782089986
1774152960030,11408.986052,-23906306.9039480016
1774174694557,11408.986052,-23906306.9039480016
