timestamp,accountValue,pnl
1773795720040,0.0,0.0
1773799320040,100.0,0.0
1773806520055,100.0,0.0
1773823279194,1379.51462,-2.66538
1773832617444,8661.440383,-10.529617
1773840120082,8581.63786,-90.33214
1773855720045,8629.485816,-42.484184
1773862920053,8539.551238,-132.418762
1773870120058,8598.679107,-73.290893
1773885720052,8512.531899,-159.438101
1773894120044,8543.648068,-128.321932
1773908520065,8399.850473,-272.119527
1773916920038,8429.271045,-242.698955
1773927789256,8473.795145,-394.984855
1773933733155,9643.65113,-453.09887
1773942120040,9667.463087,-429.286913
1773947767523,10404.342736,-325.887264
1773955320021,10395.5925,-334.6375
1773962520038,10354.460892,-375.769108
1773969720046,10417.060732,-313.169268
1773978120015,10402.836763,-327.393237
1773985320032,10382.677471,-347.552529
1773993720022,10429.526395,-300.703605
1774000920047,10352.845055,-377.384945
1774009320118,10389.726182,-340.503818
1774017720083,10346.760241,-383.469759
1774024920104,10340.917982,-389.312018
1774033320030,10291.234554,-438.995446
1774040520058,10318.521656,-411.708344
1774048920010,10402.258746,-327.971254
1774056120072,10416.521789,-313.708211
1774064520053,10418.379682,-311.850318
1774072920004,10416.564585,-313.665415
1774080120106,10432.230188,-297.999812
1774088520042,10426.956623,-303.273377
1774095720066,10454.133801,-276.096199
1774104120069,10458.923415,-271.306585
1774111320112,10433.079558,-297.150442
1774119720131,10450.882066,-279.347934
1774128120021,10447.423262,-282.806738
1774135320042,10416.082395,-314.147605
1774142520051,10263.59559,-466.63441
1774150920007,10328.013013,-402.216987
1774158120060,10290.641819,-439.588181
1774165320111,10245.364353,-484.865647
1774173720001,10200.303481,-529.926519
1774174654917,10190.586891,-539.643109
