timestamp,accountValue,pnl
1758147480058,0.0,0.0
1758151080058,126744.143581,1744.143581
1758753480006,617956.795715,-11588.434285
1759359480053,628821.91579,-9830.92421
1759964280010,632628.972401,-6023.867599
1760567880068,1976999.785342,-20803.884658
1761173880072,2634793.3719199998,-62289.22808
1761777480031,2626906.1106289998,-16231.379371
1762385880042,2359110.6310780002,-208359.088922
1762988280078,2196835.378879,-185513.201121
1763593080051,2370166.4703310002,-207177.339669
1764199080006,2283548.9539549998,-223349.646045
1764799080056,2522747.3828039998,-208625.617196
1765407480026,2799504.4078500001,-229399.53215
1766008680047,2775869.21918,-251134.84082
1766614680040,2801932.789572,-234724.790428
1767223080044,2792998.004919,-239051.225081
1767827880050,2783832.7046360001,-248215.635364
1768435080036,2773405.7027909998,-258642.637209
1769038680076,2756107.9540439998,-271994.775956
1769643480071,2688505.8994539999,-270315.280546
1770244680021,2645835.9750549998,-308818.204945
1770850680096,2545102.085254,-349837.694746
1771372680039,2546153.2117610001,-349837.688239
1771540680097,2546153.2117610001,-349837.688239
1771712280035,2542393.7396260002,-349837.690374
1771891080052,2542393.7396260002,-349837.690374
1772063880060,2492446.9896269999,-349837.700373
1772234280008,2492446.9896269999,-349837.700373
1772405880134,2492446.9896269999,-349837.700373
1772581080035,2492446.9896269999,-349837.700373
1772753880032,2492446.9896269999,-349837.700373
1772921880006,2492466.9896269999,-349837.700373
1773095880053,2492466.9896269999,-349837.700373
1773269880092,2491999.2163,-349837.7037
1773445080027,2491999.2163,-349837.7037
1773616680072,2491999.2163,-349837.7037
1773777480154,2492004.2163,-349837.7037
1773943080058,2488034.6352570001,-353807.284743
1774109880001,2488034.6352570001,-353807.284743
1774174616675,2488464.193337,-353377.726663
