timestamp,accountValue,pnl
1764192360078,0.0,0.0
1764195960078,547335.023196,47285.023196
1764805560026,246581.778174,44028.878174
1765404360044,226265.347383,23712.447383
1766010360037,144349.045669,-58196.574331
1766617560044,147925.231768,-55786.808232
1767221160086,134434.561721,-68048.738279
1767828360009,158527.178171,-43956.121829
1768433160025,143110.026044,-59373.273956
1769036760039,98821.559632,-103661.740368
1769643960038,95080.456241,-107402.843759
1770245160064,65814.542499,-136668.757501
1770848760003,52785.987143,-149697.312857
1771455960028,49999.826165,-152483.473835
1771629960076,53598.289613,-148885.010387
1771802760079,50652.138054,-151831.161946
1771969560138,46453.893544,-156029.406456
1772149560025,49013.586115,-153469.713885
1772322360090,55424.481211,-147058.818789
1772489160056,59101.441883,-143381.858117
1772666760084,57824.207985,-144659.092015
1772833560089,55236.808947,-147246.491053
1773008760039,53631.964926,-148851.335074
1773179160061,61384.287054,-141099.012946
1773355560069,69070.799144,-133412.500856
1773531960018,71042.172402,-131441.127598
1773635160075,71282.266216,-131701.033784
1773740760041,77965.465665,-125521.624335
1773848760105,79298.63484,-124138.60516
1773962760083,74326.415863,-128635.824137
1774064760043,75091.578216,-127870.661784
1774169160050,71784.836346,-131177.403654
1774174695968,71588.473042,-131373.766958
