timestamp,accountValue,pnl
1772834760080,0.0,0.0
1772838360080,13299.6,0.0
1772925960065,13999.6,0.0
1773011160054,13999.6,0.0
1773098760047,13921.208294,-78.391706
1773179160061,13829.730725,-169.869275
1773266760069,13772.491591,-227.108409
1773355560069,13897.557979,-102.042021
1773445560013,13849.269569,-150.330431
1773531960018,13712.761772,-286.838228
1773548760000,13579.135431,-420.464569
1773563160055,13351.447665,-648.152335
1773578760062,13365.100287,-634.499713
1773594360081,13458.136146,-541.463854
1773618360080,13123.46491,-876.13509
1773635160075,12758.966642,-1240.633358
1773659160070,12739.70472,-1259.89528
1773681960059,12331.544139,-1668.055861
1773704760057,11352.002751,-2647.597249
1773721560036,11774.048352,-2225.551648
1773737160042,11796.16802,-2203.43198
1773752760010,11914.796425,-2084.803575
1773767160062,11802.007048,-2197.592952
1773789960075,11733.51051,-2266.08949
1773805560079,11500.785101,-2498.814899
1773822360085,11677.975697,-2321.624303
1773840360072,12335.09483,-1709.46517
1773864360055,13088.355774,-956.204226
1773887160052,12788.066509,-1256.493491
1773902760098,13045.096945,-999.463055
1773919560060,13151.124645,-893.435355
1773942360062,13670.478482,-374.081518
1773957960025,13373.662331,-670.897669
1773974760021,13474.684021,-569.875979
1773994141062,14415.397236,-760.192764
1774016760061,14795.842526,-379.747474
1774032360106,14844.305063,-331.284937
1774047960130,14530.833184,-644.756816
1774064760043,14570.76383,-604.82617
1774081560054,14586.876807,-588.713193
1774097160034,14524.6146,-650.9754
1774112760106,14686.851085,-488.738915
1774128360037,14651.541702,-524.048298
1774143960033,15290.532734,114.942734
1774160760050,15247.86475,72.27475
1774174436267,15332.067926,156.477926
