timestamp,accountValue,pnl
1744233458325,0.0,0.0
1744237058325,189602.333957,1122.448555
1744847104628,1214207.5570710001,86017.876984
1745450792770,948844.76345,97856.750988
1746050880002,796736.971137,104376.813017
1746659280030,1774753.6733240001,186381.509987
1747263024568,728728.680789,72270.211588
1747870770833,710232.297074,176525.654605
1748475480002,849264.0690979999,316766.055967
1749081023418,1027551.6308939999,395102.29876
1749685446269,2548827.0833100001,492040.681503
1750289693103,5218102.136953,445032.981401
1750895699704,4219254.5545330001,373592.871918
1751499239142,3909724.2641969998,397968.902897
1752103171518,3162047.463037,223138.253037
1752708265661,2521188.137286,251628.877286
1753315175877,1727700.768466,-213626.031534
1753917168075,1550897.5737089999,-372626.596291
1754517000101,1417069.2278140001,-516094.032186
1755123341917,1531007.0851990001,-323282.874801
1755727800048,1343647.2048790001,-406714.115121
1756337060813,1760915.1077719999,-142354.292228
1756938190085,1696191.1017740001,-264155.788226
1757546569387,2450438.3249229998,-41877.105077
1758148966414,2401623.7414239999,-11522.718576
1758757080071,1778542.778982,-353092.931018
1759361880087,1669064.688809,-227643.351191
1759965480024,1635088.730278,-254994.029722
1760567880068,1138625.1861139999,-120205.233886
1761177480063,1146255.624751,-92887.465249
1761781080039,1209984.2660429999,-20757.893957
1762380265778,1158742.7205990001,2499.630599
1762985880043,1064584.7690399999,-102493.30096
1763590680023,1084162.9544240001,-61258.605576
1764196680039,975469.491625,-62618.888375
1764803880056,996768.8398740001,-31251.200126
1765411080076,839268.238145,-184715.971855
1766013480038,726293.530366,-287623.249634
1766613480057,714185.704826,-293595.475174
1767223080044,750214.71054,-255868.83946
1767824280049,673835.2849260001,-330875.585074
1768435080036,626661.93649,-352110.83351
1769038680076,506451.671977,-472223.828023
1769642218750,1315436.7698919999,378296.609892
1770246003042,1689095.9786340001,697966.908634
1770847179099,1638157.3788119999,461832.988812
1771370280059,1520599.3135480001,409730.703548
1771717985472,1610534.928996,429962.108996
1772063898692,1501279.0041469999,326544.594147
1772408567316,1715318.4377059999,541131.967706
1772754478580,1722223.8552089999,489274.185209
1773098369652,1828702.5623639999,685292.662364
1773431393136,2069642.190437,748244.660437
1773736337139,2309703.8850290002,906076.055029
1774039849455,2410107.2618519999,853753.601852
1774174623981,2339422.1852699998,813024.30527
