timestamp,accountValue,pnl
1738190400091,0.0,0.0
1738194000091,27513.854098,513.854098
1738794000264,21844.201534,-5155.798466
1739398800001,18100.413915,-8099.586085
1740004800007,16480.017968,-9719.982032
1740608400004,19592.406785,-6607.593215
1741216800006,17993.442153,-8206.557847
1741816800016,20173.929521,-6026.070479
1742422800027,18682.68065,-7517.31935
1743025200054,17971.116176,-8228.883824
1743631200051,18456.820852,-7743.179148
1744242000053,17047.572605,-9152.427395
1744846800034,16248.013301,-9951.986699
1745445600156,19328.058733,-6871.941267
1746054000065,19559.966466,-6640.033534
1746660000040,19959.678551,-6240.321449
1747264920035,22033.42087,-4178.991612
1747868520124,22538.064205,-3674.348277
1748471400089,21801.286997,-4411.125485
1749079800037,21055.278716,-5157.133766
1749684000068,21334.486882,-4877.9256
1750290240070,18439.418529,-7772.993953
1750892640143,18318.293908,-7894.118574
1751499000060,18229.069478,-7983.343004
1752105000004,18852.884201,-7359.525799
1752708720066,20808.815063,-5403.594937
1753313520121,20258.66549,-5953.74451
1753918800011,18694.804987,-7517.605013
1754517720056,18814.788057,-7397.621943
1755124920028,19952.367103,-6260.042897
1755730920026,18382.658402,-7829.751598
1756336200039,19257.727079,-6954.682921
1756937400026,18999.835009,-7212.574991
1757547000093,17580.354674,-8632.055326
1758148200074,17347.99673,-8864.41327
1758751800037,17941.095114,-8271.314886
1759359000047,19714.929742,-6497.480258
1759960200120,21064.488851,-5147.921149
1760572200052,22188.600047,-4023.809953
1761174600064,17412.148736,-8800.261264
1761775800066,17299.874193,-8912.535807
1762381800027,19479.88287,-6732.52713
1762986600004,19061.617513,-7150.792487
1763590200074,22516.871762,-3695.538238
1764195000052,26103.415458,-108.994542
1764805800068,26576.819537,-4651.660463
1765410600066,27786.158737,-3442.321263
1766015400076,23479.803162,-7748.676838
1766619000016,18557.648781,-9073.071219
1767221400015,17861.330124,-9769.389876
1767823800035,19016.875739,-8613.844261
1768431000009,21058.076372,-6466.583628
1769037000049,21363.289517,-6178.740483
1769639400051,21901.644931,-5640.385069
1770249000073,24663.200419,-2878.829581
1770853800044,27353.250157,-188.779843
1771456200125,27633.688205,91.658205
1771884600035,28236.963318,669.933318
1772321400040,23761.701389,-3841.818611
1772748600041,23244.388288,-4359.131712
1773183000091,20597.768501,-7005.751499
1773549000096,21544.299218,-6059.220782
1773919800048,20852.291825,-6751.228175
1774174530560,19935.474691,-7668.045309
