timestamp,accountValue,pnl
1771454640045,0.0,0.0
1771458240045,50337.792075,5037.792075
1771538640080,85694.727131,-9190.272869
1771628640032,98024.534695,-57360.465305
1771713840043,102812.578047,-53072.421953
1771801440023,123966.457275,-36333.542725
1771886640086,65039.166036,49360.746036
1771973040026,80156.277276,64477.857276
1772057040007,92813.322268,67466.012268
1772147040003,67813.322268,66503.642268
1772234640000,67813.322268,66503.642268
1772319840006,55851.366835,-36458.313165
1772405040012,219802.039077,32492.359077
1772490240100,290082.700255,-175226.979745
1772576685407,329955.815096,-186853.864904
1772666640049,241167.310996,-558642.369004
1772754240084,379829.817338,-419979.862662
1772840640061,617632.196048,-182177.483952
1772922240036,694555.536237,-105254.143763
1773007440021,802170.616407,2360.936407
1773095040045,577474.1640099999,-237335.51599
1773179040082,495872.936257,-318936.743743
1773270240079,425033.910794,-389775.769206
1773354240047,446304.213638,-368505.466362
1773439440102,640524.423989,-410285.256011
1773494640010,620254.535426,-430555.144574
1773525840115,628971.535086,-421838.144914
1773564240107,561139.57628,-489670.10372
1773596640004,563764.6049339999,-487045.075066
1773615840034,436458.687096,-614350.992904
1773650640021,542207.318097,-634602.361903
1773683040007,475332.094251,-701477.585749
1773714240017,366824.101306,-809985.578694
1773726240054,464788.87946,-712020.80054
1773758640001,446695.261042,-730114.418958
1773787440029,454376.644149,-722433.035851
1773817440011,472624.644775,-704185.035225
1773845040056,691002.235843,-485807.444157
1773877440060,712329.152816,-464480.527184
1773905040046,874557.759667,-302251.920333
1773935040094,925263.581921,-251546.098079
1773974640054,802230.506446,-374579.173554
1774002240072,803316.706321,-373492.973679
1774034640103,839824.1934540001,-336985.486546
1774067040012,758943.240189,-417866.439811
1774098240068,765310.7602519999,-411498.919748
1774129440076,796641.981118,-380167.698882
1774137840145,968022.697621,-208786.982379
1774170240024,936854.8379639999,-239954.842036
1774174500075,942379.5930390001,-234430.086961
