timestamp,accountValue,pnl
1759958601569,0.0,0.0
1759962201569,1098095.342956,50977.182956
1760569320022,1432140.7057429999,-298699.304257
1761172920065,1484695.959121,-252234.870879
1761775320187,1391782.360231,-370317.649769
1762381306957,1520511.3297540001,-265676.450246
1762984920041,1579224.7607730001,-238328.989227
1763592677995,2014946.8716210001,-43679.288379
1764200938550,2124010.312322,-66517.987678
1764802888523,2139205.4049530001,-164753.595047
1765407680576,2185228.6259590001,-125459.314041
1766009199994,2424285.039593,38135.919593
1766620055707,2790983.3826680002,-12239.007332
1767219720081,3001554.0830950001,-12377.676905
1767826920038,3364765.393036,-30403.596964
1768432205582,3896311.9211749998,469993.631175
1769035731836,3022494.0199230001,-405091.300077
1769641320024,3023392.6585650002,-385740.241435
1770248887513,3478808.8574879998,206743.267488
1770850394303,3504164.971864,449823.551864
1771370520060,3505182.2446050001,438160.694605
1771539720048,3545057.9377430002,478193.927743
1771713720035,3471497.9446959998,405849.464696
1771884578047,3647331.0908599999,578974.60086
1772059546742,3437948.5055550002,369567.425555
1772235720035,3575250.6103619998,505788.920362
1772407240811,3606230.7035409999,498073.823541
1772576520101,3476661.454711,367576.134711
1772752920093,3322533.5451130001,214389.225113
1772927700279,3511580.0920159998,415233.892016
1773100325638,3462834.7473769998,343425.247377
1773266520042,3320282.1481249998,223243.848125
1773431062368,3192701.8412569999,148265.951257
1773584520067,3230428.4731769999,186644.123177
1773729720035,3419864.9239630001,375348.513963
1773874637558,3582137.5468020001,524358.046802
1774024920104,3652757.5634050001,586525.173405
1774168543317,3705555.4146389998,639325.824639
1774174630053,3704052.5462759999,637802.956276
