timestamp,accountValue,pnl
1737582360093,0.0,0.0
1737585960093,307673.55067,37658.555222
1738193160050,327043.493939,57028.498491
1738795560065,272063.305319,68082.96806
1739401560138,220976.068988,25361.003774
1740007560043,185031.98558,-10583.079634
1740613560123,234862.660942,14922.075728
1741213560013,226816.950377,-38123.634837
1741817160040,245499.608266,-19440.976948
1742426760067,279283.474759,-3657.110455
1743032760041,293135.84209,10195.256876
1743635160003,231484.614508,-51455.970706
1744236360076,216792.453337,-66148.131877
1744843560060,171081.218583,-111859.366631
1745448360072,232856.587942,-50083.997272
1746054360026,209136.219844,-73804.36537
1746654360112,163966.332516,-118974.252698
1747265280048,291773.081536,8832.496322
1747870080021,294494.608901,11554.023687
1748471760054,264994.612581,-17945.972633
1749075360071,209944.943369,-72995.641845
1749680760038,230107.450249,-52833.134965
1750289400044,175277.765175,-107662.820039
1750893000066,196976.792287,-138463.792927
1751498160052,326640.398121,-108800.187093
1752102960089,339873.635563,-95566.944437
1752703080043,457824.151346,22383.571346
1753311480056,512330.955029,76890.375029
1753917960075,113474.438079,73098.748079
1754524080019,114172.916668,73146.556668
1755128880045,117363.421706,76337.061706
1755733680050,118548.522855,77522.162855
1756336560069,122629.138322,81602.778322
1756942560105,130925.073213,89898.713213
1757547360056,131294.037001,90267.677001
1758152160107,132547.073433,91520.713433
1758755760059,116366.745536,75340.385536
1759358160033,230810.039529,89783.679529
1759966560018,236783.299614,95756.939614
1760565360056,134703.554317,92608.334317
1761177360056,125805.212144,83709.992144
1761780960077,136424.975897,94329.755897
1762379760067,116701.594226,74606.374226
1762986960043,118816.001364,76720.781364
1763590560106,102488.024476,40392.804476
1764196560005,99494.600329,37399.380329
1764800160018,107076.760451,44981.540451
1765404960056,119777.497679,37682.277679
1766013360078,98053.157721,15957.937721
1766619360063,97189.521097,15094.301097
1767219360087,111663.088415,19567.868415
1767828960066,148631.795818,56536.575818
1768427760104,149956.032878,57860.812878
1769037360053,117059.490147,24964.270147
1769642160030,105937.480095,13842.260095
1770246960043,73392.690286,-18702.529714
1770846960076,60850.66269,-31244.55731
1771458960002,61872.059325,-30223.160675
1771888560042,56427.839799,-35667.380201
1772057760007,69379.469682,-22715.750318
1772488560075,63163.590386,-28931.629614
1772927760020,57380.337596,-34714.882404
1773356160061,64958.712722,-27136.507278
1773735360032,70661.806781,-21433.413219
1774106160047,64554.834135,-27540.385865
1774174551799,61245.760675,-30849.459325
