date,equity,daily_pnl,daily_funding,daily_fees,n_positions,short_exposure,leverage,drawdown,stopped
2025-07-15,99942.25,0.0,0.0,57.750000000000014,15,105000.00000000001,1.0506067253839093,0.0,False
2025-07-16,96498.20131978144,-3419.7437286416,0.0,24.304951576974315,15,101348.63158492633,1.0502644629517108,0.034217197718098155,False
2025-07-17,97734.46379636251,1266.708896791009,0.0,30.446420209939497,15,102653.15572740111,1.0503270979343282,0.02178597923728506,False
2025-07-18,98856.4162542577,1152.7121587058668,0.0,30.759700810685715,15,103831.53475282177,1.0503267130963772,0.010556837022696825,False
2025-07-19,97708.05119255498,-1102.5482893386095,0.0,45.81677236410383,15,102641.56136316503,1.0504923607665402,0.021896465559669818,False
2025-07-20,90330.66205518843,-7338.332449474855,0.0,39.05668789169785,15,94888.20468023414,1.0504539933767034,0.0957806258806448,False
2025-07-21,86341.10931435449,-3967.2891369759814,0.0,22.263603857968157,15,90681.54156412311,1.0502707491742524,0.13586723414559457,False
2025-07-22,85273.59931890745,-1047.189490805634,0.0,20.320504641408018,15,89558.6158147263,1.050250212610279,0.14656794475260604,False
2025-07-23,89908.90273570744,4690.541524050003,0.0,55.23810725001457,15,94462.34788510534,1.0506450975470474,0.099838748447654,False
2025-07-24,93333.1103943321,3481.604295857841,0.0,57.39663723318284,15,98060.03238314357,1.050645713711246,0.06555528786308809,False
2025-07-25,88847.11180632963,-4456.017946606408,0.0,29.980641396066872,15,93320.94707011196,1.0503543128507595,0.11071551373192326,False
2025-07-26,89113.2395325056,279.95916100798934,0.0,13.831434832025646,15,93583.42451570454,1.0501629724903936,0.10821428407567744,False
2025-07-27,86670.77926261033,-2421.028237625302,0.0,21.43203226996146,15,91026.82185962432,1.0502596449930983,0.1325769502399606,False
2025-07-28,93197.85693388687,6557.553482492868,0.0,30.47581121632686,15,97889.74938235836,1.0503433512618199,0.06717796782538721,False
2025-07-29,93635.1229482624,466.2319900543067,0.0,28.965975678770732,15,98347.29337013827,1.0503248169437398,0.06281788809096076,False
2025-07-30,95468.53965398483,1856.1082849474612,0.0,22.69157922503308,15,100265.79279487034,1.0502495707829262,0.04453590715428293,False
2025-07-31,102371.49587409606,6929.00308942323,0.0,26.046869312010948,15,107517.41988057851,1.0502671565218826,0.0,False
2025-08-01,105835.9360851147,3482.2053641318926,0.0,17.765153113243326,15,111146.38630013936,1.050176248365715,0.0,False
2025-08-02,108184.44201226046,2374.319042002615,0.0,25.813114856864274,15,113620.76788347325,1.0502505329795637,0.0,False
2025-08-03,103866.06438745017,-4283.887401941877,0.0,34.490222868429406,15,109095.58234083453,1.050348667625229,0.03959799877191568,False
2025-08-04,98902.81592828105,-4937.524627908339,0.0,25.723831260777743,15,103874.96674751893,1.0502730966006408,0.08555668523640088,False
2025-08-05,104447.0321506644,5585.514489295772,0.0,41.29826691243881,15,109712.7469384557,1.0504151690992574,0.03416490879774338,False
2025-08-06,101755.5678993357,-2666.389233283427,0.0,25.07501804527811,15,106869.67506325003,1.050258745241082,0.059193345880119735,False
2025-08-07,93078.46708131219,-8636.24796582592,0.0,40.8528521975869,15,97775.28593018529,1.0504608530431643,0.13925405352687747,False
2025-08-08,91563.2999437347,-1479.0236231815861,0.0,36.143514395911765,15,96179.41563103718,1.0504144749057653,0.15330299112926318,False
2025-08-09,87189.09206520244,-4338.10005091457,0.0,36.107827617702554,15,91586.45988746113,1.0504348390159886,0.19373619468375158,False
2025-08-10,87032.76749447566,-95.8927532681348,0.0,60.43181745863205,15,91447.85927753102,1.050729074923828,0.19495633852727098,False
2025-08-11,92186.81741119469,5197.253489316649,0.0,43.20357259761167,15,96841.52203298196,1.050492085012819,0.14747426461431543,False
2025-08-12,85725.22515949799,-6418.235685767843,0.0,43.35656592885326,15,90057.0108116982,1.0505310501563643,0.20720040580597757,False
2025-08-13,84089.50109654033,-1602.3863534813836,0.0,33.33770947627582,15,88328.98074631747,1.0504162778289043,0.2224127865217161,False
2025-08-14,93061.72450938386,9016.275811125615,0.0,44.052398282082166,15,97761.06575304925,1.0504970359021397,0.13937923812451392,False
2025-08-15,93378.43528533838,338.3881893395306,0.0,21.67741338500651,15,98070.11833365957,1.0502437531104984,0.1366585531019477,False
2025-08-16,92001.7708555212,-1319.1815834661347,0.0,57.482846351034844,15,96662.21638696583,1.0506560415968877,0.14905274742333813,False
2025-08-17,90105.53404693624,-1860.4247986880662,0.0,35.81200989689083,15,94648.4133596748,1.050417317435488,0.16678087551057033,False
2025-08-18,93576.24675618151,3507.421982236171,0.0,36.7092729909067,15,98293.60383063104,1.05041190727323,0.1346911414622508,False
2025-08-19,99405.60596829238,5875.980576974401,0.0,46.62136486352813,15,104424.83869981368,1.0504924514329936,0.08071599313804231,False
2025-08-20,92035.79395501953,-7344.277602266778,0.0,25.534411006069668,15,96664.39478432691,1.0502913120037787,0.14903357032065337,False
2025-08-21,96889.77582741939,4885.143185603922,0.0,31.16131320406617,15,101766.98399765466,1.050337696919875,0.10411390641882243,False
2025-08-22,85444.03330715078,-11406.22626236117,0.0,39.51625790743635,15,89757.72704331111,1.0504856052458764,0.20983509296678327,False
2025-08-23,86820.97105083555,1443.5709184163172,0.0,66.6331747315387,15,91231.98443684545,1.0508058517731524,0.19685675121640706,False
2025-08-24,89178.6496602335,2405.8619326832477,0.0,48.18332328529777,15,93688.17463269472,1.0505673161641524,0.17523415267597556,False
2025-08-25,98975.86153984666,9850.966249731318,0.0,53.754370118139214,15,103981.09670546306,1.0505702611500012,0.08462239053983518,False
2025-08-26,93423.64598348597,-5505.821742769263,0.0,46.39381359144224,15,98143.5417869313,1.0505214258527187,0.13601218383615166,False
2025-08-27,93737.29683000209,357.01338770641945,0.0,43.362541190301194,15,98469.69233975206,1.0504857262774756,0.133140980099853,False
2025-08-28,89373.92943438004,-4326.420658498203,0.0,36.946737123849104,15,93881.4199800791,1.05043406476839,0.17353295438385663,False
2025-08-29,95027.27341137735,5711.698245715159,0.0,58.3542687178579,15,99839.90906409993,1.050644783123351,0.12107854039382836,False
2025-08-30,93542.28377428593,-1440.8869147465264,0.0,44.10272234489413,15,98265.70582146238,1.0504950473368162,0.13493673622659402,False
2025-08-31,95650.14726163483,2152.3178921709223,0.0,44.454404822017985,15,100479.33174977973,1.0504879984652347,0.11544950561734334,False
2025-09-01,99827.16580723561,4238.3884171194095,0.0,61.36987151863917,15,104882.96246269195,1.0506454992944405,0.07668298859984003,False
2025-09-02,93992.91833373746,-5765.697744582429,0.0,68.54972891571701,15,98764.54146578582,1.0507657727479631,0.1305453324610829,False
2025-09-03,91963.7535069456,-1985.4711891308702,0.0,43.693637660980144,15,96607.81950183693,1.050498873934507,0.14953161995160588,False
2025-09-04,96762.06416007603,4836.501366744654,0.0,38.190713614219355,15,101640.26761737477,1.0504144211850277,0.10522942972964679,False
2025-09-05,92571.8492654977,-4152.140157759221,0.0,38.07473681911015,15,97240.42020243267,1.0504318642651873,0.14396264121026392,False
2025-09-06,92722.2438310508,171.8647217139029,0.0,21.470156160811936,15,97380.89968657221,1.0502431311305402,0.1427259570585849,False
2025-09-07,90426.05109330418,-2260.047215767451,0.0,36.14552197917267,15,94985.30644604754,1.0504197108866227,0.1638151019438513,False
