vault_address,nav_start,nav_end,annualized_return,sharpe,mdd,win_rate,freq,metrics_mode,balance,time_in_market,avg_hold_days,trader_age_hours
0x031b0bc3981658def502d5265663604f470bd352,11000.0,7251.498863999994,-0.95,-1.25,-0.49,0.43,D,full,7251.498863999994,0.29,32.458333333333336,1189.9365713630557
0x45b3c4f1db017a087a3dd26041e3e1e455f1820f,2494.9978960000003,7115.4037629999975,1.53,2.11,-0.91,0.48,D,full,7115.4037629999975,1.0,411.3333333333333,9889.305749681387
0x4ddff2f7123dd07bf5d0bde7912bb520a9fef0ca,200.0,8592.886112000022,112606.2,2.2,-0.91,0.5,D,full,8592.886112000022,0.98,54.770833333333336,2814.246881903334
0x0c23c0e583895db60649e06ed3d5563836760e14,6421.75745,6950.816994999999,0.09,1.6,-0.68,0.44,D,full,6950.816994999999,0.08,0.75,7880.830717108333
0x978dbedce2bb1e698beb4f5359726f083b96981f,6928.329471000005,7970.795550000014,1.08,1.47,-0.18,0.57,D,full,7970.795550000014,1.0,70.04166666666667,1682.6223590727775
0x67d1e87c665660a8ac7bae60ac949818c09aabf4,11659.41398,10724.620897999874,-0.08,-0.1,-0.3,0.48,D,full,10724.620897999874,1.0,232.83333333333337,9310.567637235
0xc1703054b55bfa1ac6dbaf25cb1c783ca133181f,4525.014092000001,7238.290241000023,0.9,1.07,-0.58,0.53,D,full,7238.290241000023,1.0,267.125,6412.554057720277
0x7a1a531fa8d9cf7cfb3704eea613b499c70d4d42,16929.014532,6059.497374000044,-0.93,-0.33,-0.89,0.45,D,full,6059.497374000044,0.98,26.516666666666666,3446.3429162172224
0x201aa96405cf37c84e7bf6a7c052021cd691b0ec,1100.378935,6793.787846999994,35.29,1.42,-0.4,0.55,D,full,6793.787846999994,0.31,50.93055555555556,4439.2753806525
0x8cf41ab29d5efbc7516e4e3062fc6cb0df5f5dde,973.985414,6641.94259299986,10.02,1.29,-0.8099713824847887,0.4,D,full,6641.94259299986,1.0,145.83333333333334,7012.970972569444
0xd9dec52524ce04fb3bb91d7c39edca0055efab39,412.1500489999996,6715.2410769999005,6.4,0.36,-1.42,0.49,D,full,6715.2410769999005,1.0,509.1666666666667,12220.661770534169
0x7a531c5cff58f519b88f0a733d27c97b127069bb,899.89,6537.581454999998,813.01,2.49,-0.24,0.5,D,full,6537.581454999998,0.28,0.5910493827160493,2580.921279518055
0x611d641b7c7a9fb16e889fff1244d1e6bd22c049,500.0,5974.737440000111,232.81,2.43,-0.95,0.64,D,full,5974.737440000111,0.71,0.9522946859903382,3966.825949823055
0x56a1be327c9aa80aff10777c7326c421a0e8a650,9018.591841999996,6435.244568999986,-0.53,0.45,-0.83,0.48,D,full,6435.244568999986,0.96,40.697916666666664,3966.417773251944
0x4cffe9a4755576ef9820e93426fb8b1b3621a250,2423.10196,6254.684248000004,5.24,1.36,-0.39,0.4,D,full,6254.684248000004,0.43,0.8689236111111112,4526.570971439444
0x5a9e0f6c1a702b039de10c757e5ac0670d798eec,5000.0,26171.182339000003,10.54,1.3,-0.14,0.53,D,full,26171.182339000003,0.6,72.41666666666667,5933.7867189633325
0x3d0862d30e3b36d23663eeb62adc335655e65383,6690.511627,5975.23383600001,-0.95,-3.34,-0.16,0.69,D,full,5975.23383600001,0.93,0.2050438596491228,337.5130043238889
0xe44bed760c2f1a03a03bd1b8911f025d96e6eb04,1741.3748690000002,6024.51537699988,1.42,1.26,-2.46,0.46,D,full,6024.51537699988,0.86,36.11607142857143,12308.80109716722
0x5c29944d5a39a452d282f1bc5f1702a9007cb36b,305.643155,5840.574629000006,46.44,1.23,-0.74,0.49,D,full,5840.574629000006,1.0,278.8333333333333,6699.9569596880565
0x73f6553d3a6b570ab37957b32a75c7fc0ebff6e9,491.83285199999955,9845.43795900005,18.38,2.45,-0.77,0.75,D,full,9845.43795900005,0.64,4.524621212121212,8860.143333923334
0xb6e319939f793c36a0360e13b239d31f177f7a21,2254.508362,5953.144503999971,60.62,2.97,-0.14,0.52,D,full,5953.144503999971,1.0,85.375,2052.111454801111
0xe1f7126c295797fdd8034152856bb0897d1567b5,1105.6430240000009,5803.544437999995,49358.19,2.56,-0.32,0.4,D,full,5803.544437999995,0.27,2.7447916666666665,1335.271285478889
0x37749b86c4feb083381c5be6e11f862771648b6c,2116.9215859999995,3679.394020999982,5501355.56,5.04,-0.29,0.62,D,full,3679.394020999982,1.0,1.4270833333333333,315.1726999963889
0xbb119a050b70164f3f15a2941cbf251c321d80b4,698.882201,5548.273115000002,158.99,2.96,-0.92,0.48,D,full,5548.273115000002,0.99,6.60515873015873,3560.843301391667
0x0c9c567c9275edd62d7a5221c00d647445bb583b,3896.4259150000007,5847.930416000001,36.14,3.02,-0.34,0.54,D,full,5847.930416000001,1.0,40.416666666666664,973.2773266619444
0xfb7dc359d90d3a5fb30382302712e5c84cd337c7,5342.366472,5533.635636999923,0.29,0.71,-0.15,0.51,D,full,5533.635636999923,1.0,51.041666666666664,1226.755757577222
0x3e45468613b076ee5db0e0ef78ad5016f07ac8e1,500.0,2988.0784760001147,1.46,0.63,-4.0,0.67,D,full,2988.0784760001147,0.96,75.91666666666667,17366.765936935833
0x087891d295015866d3e1b906e302b6b314310790,21313.757936999988,5841.558237999983,-0.99,0.52,-0.9535014470967808,0.53,D,full,5841.558237999983,0.97,0.9206989247311828,2449.392090011111
0x9693d52b6999bf8929395e8b1badb5336b99b372,11490.398933,5471.937335000006,-0.66,-1.13,-6.11,0.45,D,full,5471.937335000006,0.12,1.0444444444444445,5958.311548713333
0xa666050c0e7711257ccf2beefdcd4d3c9722c4c5,2640.556327,5103.386137999997,66.99,3.11,-0.52,0.56,D,full,5103.386137999997,1.0,14.135416666666666,1369.1894817369443
0xf6c9920ed329d1f49d8ed90d406a7ac0aa62d8ba,1000.0,1008.9917380000812,0.0,0.68,-0.95,0.36,D,full,1008.9917380000812,0.96,417.5416666666667,16032.351602890556
0xb7b14b407b5de678f4ce16576712765fd42f1f01,24073.040777,6558.414186999956,-0.99,-2.13,-0.8,0.51,D,full,6558.414186999956,1.0,99.16666666666669,2381.861305532222
0x316f5e5a00742c0d1c103545078451e81662bb28,5961.413314000001,5257.981149000028,-0.14,0.81,-0.71,0.43,D,full,5257.981149000028,0.9,26.55,7219.967048503889
0xcea8462fa124a2a8e19167759b2f0b20d8d2c0a6,221.593347,5120.482678000001,33.01,1.11,-0.82,0.48,D,full,5120.482678000001,1.0,324.4166666666667,7787.592580971945
0x0cd95188e1c755079566852e8dbde75b97cc8189,1500.334248,5090.875341999993,1915.69,2.52,-0.04,0.59,D,full,5090.875341999993,1.0,0.8402777777777778,1403.7069940461113
0x018d8f1e400acde9648cf49c2eb84f043ae48721,4953.184178000008,5043.4498319999975,0.13,0.5,-0.12,0.55,D,full,5043.4498319999975,1.0,54.25,1303.3667530033333
